tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:0.015798804420085674,0.49893038622179275,0.17038976947207868,0.19961937377654676
0.1,10000,62.83185307179586,2.1709079388110846,0.0036646644013817475,0.5313964270952768,5.990276648665207,128.52257445667945,0.009151161812086783,7672.515376456953
0.1,10000,62.83185307179586,2.591579188665106,0.0035077863528376776,0.6342481537585287,8.139066215169779,168.63078106366552,0.021612637682591192,8671.063646641462
0.1,10000,62.83185307179586,3.0937667005816545,0.0051342631008465655,0.6565873327259387,12.332889620915186,248.2109871051082,0.16997929509032828,14166.260205179815
0.1,10000,62.83185307179586,3.6932664220683193,0.008857836248910166,0.6848384708775089,19.928322997879896,395.32485890760364,0.2657932983001071,23468.58583186771
0.1,10000,62.83185307179586,4.408935186293411,0.007686500977870995,0.6953413612147272,33.397049376855044,657.4089937512531,0.2452904796407438,39228.2445516334
0.1,10000,62.83185307179586,5.263283840229962,0.00567916255055498,0.6843843166231823,56.54204950572747,1109.8988806484667,0.6451083601209983,65951.8953657208
0.1,10000,62.83185307179586,6.283185307179586,0.0006716595707566841,0.7453805756339502,95.96257392146738,1881.7232953407074,0.6906033619736718,111303.84419299266
0.1,10000,62.83185307179586,7.500719855274338,0.0002387131271275043,0.6728605907824752,163.06856071018615,3196.1979573395147,2.330155285909357,188319.497941652
0.1,10000,62.83185307179586,8.954184159270191,0.0031094566345773247,0.6846214537947053,277.25555691391367,5433.4757412072295,4.915319916686112,319170.2962117664
0.1,10000,62.83185307179586,10.689295894946174,0.0028747297794444048,0.696721414845436,471.50154975527727,9239.730577606804,10.740394086723505,541570.3533679296
0.1,10000,62.83185307179586,12.760631755760757,0.0008090001672445806,0.7323073404644885,801.9347218217812,15714.774282843593,5.275888995955029,919675.4286656933
0.1,10000,62.83185307179586,15.233344123546667,0.0005828414508727753,0.7099764618532427,1364.044700834412,26729.815419177477,13.682486940720464,1562619.0457156394
